,WER,time
0,0.0,30.18
200,20.0,0.7
400,20.0,1.14
600,20.0,1.75
800,10.0,2.16
1000,10.0,2.83
1200,20.0,3.36
1400,20.0,3.9
1600,20.0,4.55
1800,10.0,5.32
2000,0.0,6.23
2200,0.0,6.92
2400,0.0,8.1
2600,0.0,8.6
2800,0.0,10.43
3000,0.0,10.02
3200,0.0,12.01
3400,0.0,11.64
3600,0.0,12.32
3800,0.0,13.15
