,WER,time
0,0.0,30.46
200,20.0,0.73
400,20.0,1.24
600,20.0,1.67
800,10.0,2.25
1000,10.0,3.01
1200,20.0,3.47
1400,20.0,4.07
1600,20.0,4.67
1800,10.0,5.52
2000,0.0,6.5
2200,0.0,7.15
2400,0.0,7.95
2600,0.0,8.74
2800,0.0,9.4
3000,0.0,10.24
3200,0.0,10.93
3400,0.0,11.69
3600,0.0,12.6
3800,0.0,13.36
