,train_loss,test_loss,cer,wer
0,2.293828248977661,2.1665582367579144,0.555900115562648,1.0872110650752904
1,2.1134400367736816,1.8610499356587729,0.48191757398740775,0.9949358963267803
2,1.88189697265625,1.531207950115205,0.38743051336988216,0.9408785600235156
3,1.471699595451355,1.2107221841812132,0.30369855330827994,0.8110037378386504
4,1.3107984066009521,1.0181947313944502,0.2594937567035996,0.7242887436836658
5,0.9699808955192566,0.8828775141239164,0.23081791938474494,0.6688004121608184
6,0.9156898856163025,0.8101906368732457,0.213118415784627,0.6449508155505225
7,0.8451242446899414,0.7322049137751268,0.19997142063068085,0.5927712649860876
8,0.7985025644302368,0.6849911556243891,0.18261363121276084,0.5497757042305945
9,0.8604030013084412,0.6550911353429162,0.177282547083185,0.5396227972007556
