,train_loss,test_loss,cer,wer
0,5.095612525939941,4.697660522151539,0.6206669793335756,0.7930661933575424
1,3.2111496925354004,2.9272716063579547,0.3877067475172244,0.6371322569727467
2,3.0631887912750244,2.3554406775773,0.32049543228449967,0.534141470407259
3,2.1062846183776855,2.186606297624929,0.2912496437878081,0.50754675656179
4,2.6114625930786133,1.9784386446912778,0.26826109369031054,0.4700032505921511
5,2.7268612384796143,1.862858427162388,0.25351229709779444,0.45362897518294953
6,2.049952268600464,1.7040439289034772,0.2332472701793224,0.4198327423847168
7,1.8121141195297241,1.5773265530134903,0.2135510920437015,0.39650769645160333
8,2.0099306106567383,1.4254547474721002,0.19358634743883554,0.3667334306109011
9,1.5813521146774292,1.3953675698801753,0.18868156447321485,0.36100449627051057
10,1.6264806985855103,1.3081457627979847,0.17917706684694223,0.34655363847513027
11,1.366530179977417,1.2157329506318986,0.1621077726097147,0.3203698942601216
12,1.5014958381652832,1.1747763781943397,0.15503879167367743,0.30738476675084786
13,1.521873116493225,1.11908818545346,0.1490561133700449,0.29543853950891025
14,1.087900996208191,1.069834747785374,0.14456872026602524,0.28802447541626713
15,1.27254056930542,1.0469577371334755,0.13586483248147072,0.2754052913525402
16,0.8205443620681763,1.0014061169940551,0.12878998372393072,0.2624576796570723
17,0.8148295879364014,0.9683383156381943,0.12441054860443324,0.2565327937817712
18,0.6857742667198181,0.9471937429927685,0.11945152945650832,0.24769191719585876
19,0.8378891944885254,0.9309620002981357,0.11747267645122113,0.24409538404440362
